county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Aleppo,US President,NA,DEM,Kamala D. Harris,total,591
Allegheny,Aleppo,US President,NA,REP,Donald J. Trump,total,506
Allegheny,Aleppo,US President,NA,GRN,Jill Stein,total,9
Allegheny,Aleppo,US President,NA,LIB,Chase Oliver,total,8
Allegheny,Aleppo,US President,NA,WRI,Write-in,total,8
Allegheny,Aspinwall Dist 1,US President,NA,DEM,Kamala D. Harris,total,490
Allegheny,Aspinwall Dist 1,US President,NA,REP,Donald J. Trump,total,234
Allegheny,Aspinwall Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Aspinwall Dist 1,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Aspinwall Dist 1,US President,NA,WRI,Write-in,total,3
Allegheny,Aspinwall Dist 2,US President,NA,DEM,Kamala D. Harris,total,333
Allegheny,Aspinwall Dist 2,US President,NA,REP,Donald J. Trump,total,132
Allegheny,Aspinwall Dist 2,US President,NA,GRN,Jill Stein,total,3
Allegheny,Aspinwall Dist 2,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Aspinwall Dist 2,US President,NA,WRI,Write-in,total,1
Allegheny,Aspinwall Dist 3,US President,NA,DEM,Kamala D. Harris,total,491
Allegheny,Aspinwall Dist 3,US President,NA,REP,Donald J. Trump,total,196
Allegheny,Aspinwall Dist 3,US President,NA,GRN,Jill Stein,total,3
Allegheny,Aspinwall Dist 3,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Aspinwall Dist 3,US President,NA,WRI,Write-in,total,2
Allegheny,Avalon Ward 1,US President,NA,DEM,Kamala D. Harris,total,572
Allegheny,Avalon Ward 1,US President,NA,REP,Donald J. Trump,total,264
Allegheny,Avalon Ward 1,US President,NA,GRN,Jill Stein,total,3
Allegheny,Avalon Ward 1,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Avalon Ward 1,US President,NA,WRI,Write-in,total,4
Allegheny,Avalon Ward 2 Dist 1,US President,NA,DEM,Kamala D. Harris,total,350
Allegheny,Avalon Ward 2 Dist 1,US President,NA,REP,Donald J. Trump,total,191
Allegheny,Avalon Ward 2 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Avalon Ward 2 Dist 1,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Avalon Ward 2 Dist 1,US President,NA,WRI,Write-in,total,7
Allegheny,Avalon Ward 2 Dist 2,US President,NA,DEM,Kamala D. Harris,total,241
Allegheny,Avalon Ward 2 Dist 2,US President,NA,REP,Donald J. Trump,total,126
Allegheny,Avalon Ward 2 Dist 2,US President,NA,GRN,Jill Stein,total,1
Allegheny,Avalon Ward 2 Dist 2,US President,NA,LIB,Chase Oliver,total,1
Allegheny,Avalon Ward 2 Dist 2,US President,NA,WRI,Write-in,total,0
Allegheny,Avalon Ward 3 Dist 1,US President,NA,DEM,Kamala D. Harris,total,168
Allegheny,Avalon Ward 3 Dist 1,US President,NA,REP,Donald J. Trump,total,109
Allegheny,Avalon Ward 3 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Avalon Ward 3 Dist 1,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Avalon Ward 3 Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Avalon Ward 3 Dist 2,US President,NA,DEM,Kamala D. Harris,total,232
Allegheny,Avalon Ward 3 Dist 2,US President,NA,REP,Donald J. Trump,total,113
Allegheny,Avalon Ward 3 Dist 2,US President,NA,GRN,Jill Stein,total,1
Allegheny,Avalon Ward 3 Dist 2,US President,NA,LIB,Chase Oliver,total,7
Allegheny,Avalon Ward 3 Dist 2,US President,NA,WRI,Write-in,total,3
Allegheny,Avalon Ward 3 Dist 3,US President,NA,DEM,Kamala D. Harris,total,267
Allegheny,Avalon Ward 3 Dist 3,US President,NA,REP,Donald J. Trump,total,104
Allegheny,Avalon Ward 3 Dist 3,US President,NA,GRN,Jill Stein,total,2
Allegheny,Avalon Ward 3 Dist 3,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Avalon Ward 3 Dist 3,US President,NA,WRI,Write-in,total,0
Allegheny,Baldwin Br Dist 1,US President,NA,DEM,Kamala D. Harris,total,266
Allegheny,Baldwin Br Dist 1,US President,NA,REP,Donald J. Trump,total,231
Allegheny,Baldwin Br Dist 1,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 1,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Baldwin Br Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Br Dist 2,US President,NA,DEM,Kamala D. Harris,total,500
Allegheny,Baldwin Br Dist 2,US President,NA,REP,Donald J. Trump,total,368
Allegheny,Baldwin Br Dist 2,US President,NA,GRN,Jill Stein,total,4
Allegheny,Baldwin Br Dist 2,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 2,US President,NA,WRI,Write-in,total,6
Allegheny,Baldwin Br Dist 3,US President,NA,DEM,Kamala D. Harris,total,390
Allegheny,Baldwin Br Dist 3,US President,NA,REP,Donald J. Trump,total,313
Allegheny,Baldwin Br Dist 3,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 3,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 3,US President,NA,WRI,Write-in,total,2
Allegheny,Baldwin Br Dist 4,US President,NA,DEM,Kamala D. Harris,total,309
Allegheny,Baldwin Br Dist 4,US President,NA,REP,Donald J. Trump,total,346
Allegheny,Baldwin Br Dist 4,US President,NA,GRN,Jill Stein,total,7
Allegheny,Baldwin Br Dist 4,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Baldwin Br Dist 4,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Br Dist 5,US President,NA,DEM,Kamala D. Harris,total,359
Allegheny,Baldwin Br Dist 5,US President,NA,REP,Donald J. Trump,total,325
Allegheny,Baldwin Br Dist 5,US President,NA,GRN,Jill Stein,total,1
Allegheny,Baldwin Br Dist 5,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Baldwin Br Dist 5,US President,NA,WRI,Write-in,total,2
Allegheny,Baldwin Br Dist 6,US President,NA,DEM,Kamala D. Harris,total,295
Allegheny,Baldwin Br Dist 6,US President,NA,REP,Donald J. Trump,total,310
Allegheny,Baldwin Br Dist 6,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 6,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 6,US President,NA,WRI,Write-in,total,3
Allegheny,Baldwin Br Dist 7,US President,NA,DEM,Kamala D. Harris,total,378
Allegheny,Baldwin Br Dist 7,US President,NA,REP,Donald J. Trump,total,321
Allegheny,Baldwin Br Dist 7,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 7,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Baldwin Br Dist 7,US President,NA,WRI,Write-in,total,0
Allegheny,Baldwin Br Dist 8,US President,NA,DEM,Kamala D. Harris,total,315
Allegheny,Baldwin Br Dist 8,US President,NA,REP,Donald J. Trump,total,309
Allegheny,Baldwin Br Dist 8,US President,NA,GRN,Jill Stein,total,0
Allegheny,Baldwin Br Dist 8,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Baldwin Br Dist 8,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Br Dist 9,US President,NA,DEM,Kamala D. Harris,total,335
Allegheny,Baldwin Br Dist 9,US President,NA,REP,Donald J. Trump,total,292
Allegheny,Baldwin Br Dist 9,US President,NA,GRN,Jill Stein,total,1
Allegheny,Baldwin Br Dist 9,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Baldwin Br Dist 9,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Br Dist 10,US President,NA,DEM,Kamala D. Harris,total,370
Allegheny,Baldwin Br Dist 10,US President,NA,REP,Donald J. Trump,total,259
Allegheny,Baldwin Br Dist 10,US President,NA,GRN,Jill Stein,total,4
Allegheny,Baldwin Br Dist 10,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 10,US President,NA,WRI,Write-in,total,0
Allegheny,Baldwin Br Dist 11,US President,NA,DEM,Kamala D. Harris,total,530
Allegheny,Baldwin Br Dist 11,US President,NA,REP,Donald J. Trump,total,283
Allegheny,Baldwin Br Dist 11,US President,NA,GRN,Jill Stein,total,4
Allegheny,Baldwin Br Dist 11,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 11,US President,NA,WRI,Write-in,total,5
Allegheny,Baldwin Br Dist 12,US President,NA,DEM,Kamala D. Harris,total,280
Allegheny,Baldwin Br Dist 12,US President,NA,REP,Donald J. Trump,total,276
Allegheny,Baldwin Br Dist 12,US President,NA,GRN,Jill Stein,total,1
Allegheny,Baldwin Br Dist 12,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Baldwin Br Dist 12,US President,NA,WRI,Write-in,total,5
Allegheny,Baldwin Br Dist 13,US President,NA,DEM,Kamala D. Harris,total,278
Allegheny,Baldwin Br Dist 13,US President,NA,REP,Donald J. Trump,total,316
Allegheny,Baldwin Br Dist 13,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 13,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 13,US President,NA,WRI,Write-in,total,4
Allegheny,Baldwin Br Dist 14,US President,NA,DEM,Kamala D. Harris,total,241
Allegheny,Baldwin Br Dist 14,US President,NA,REP,Donald J. Trump,total,274
Allegheny,Baldwin Br Dist 14,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 14,US President,NA,LIB,Chase Oliver,total,1
Allegheny,Baldwin Br Dist 14,US President,NA,WRI,Write-in,total,0
Allegheny,Baldwin Br Dist 15,US President,NA,DEM,Kamala D. Harris,total,333
Allegheny,Baldwin Br Dist 15,US President,NA,REP,Donald J. Trump,total,361
Allegheny,Baldwin Br Dist 15,US President,NA,GRN,Jill Stein,total,3
Allegheny,Baldwin Br Dist 15,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 15,US President,NA,WRI,Write-in,total,4
Allegheny,Baldwin Br Dist 16,US President,NA,DEM,Kamala D. Harris,total,399
Allegheny,Baldwin Br Dist 16,US President,NA,REP,Donald J. Trump,total,333
Allegheny,Baldwin Br Dist 16,US President,NA,GRN,Jill Stein,total,1
Allegheny,Baldwin Br Dist 16,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Br Dist 16,US President,NA,WRI,Write-in,total,3
Allegheny,Baldwin Br Dist 17,US President,NA,DEM,Kamala D. Harris,total,292
Allegheny,Baldwin Br Dist 17,US President,NA,REP,Donald J. Trump,total,264
Allegheny,Baldwin Br Dist 17,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Br Dist 17,US President,NA,LIB,Chase Oliver,total,1
Allegheny,Baldwin Br Dist 17,US President,NA,WRI,Write-in,total,0
Allegheny,Baldwin Br Dist 18,US President,NA,DEM,Kamala D. Harris,total,446
Allegheny,Baldwin Br Dist 18,US President,NA,REP,Donald J. Trump,total,354
Allegheny,Baldwin Br Dist 18,US President,NA,GRN,Jill Stein,total,3
Allegheny,Baldwin Br Dist 18,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Baldwin Br Dist 18,US President,NA,WRI,Write-in,total,4
Allegheny,Baldwin Tp Dist 1,US President,NA,DEM,Kamala D. Harris,total,394
Allegheny,Baldwin Tp Dist 1,US President,NA,REP,Donald J. Trump,total,292
Allegheny,Baldwin Tp Dist 1,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Tp Dist 1,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Tp Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Baldwin Tp Dist 2,US President,NA,DEM,Kamala D. Harris,total,327
Allegheny,Baldwin Tp Dist 2,US President,NA,REP,Donald J. Trump,total,289
Allegheny,Baldwin Tp Dist 2,US President,NA,GRN,Jill Stein,total,2
Allegheny,Baldwin Tp Dist 2,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Baldwin Tp Dist 2,US President,NA,WRI,Write-in,total,2
Allegheny,Bell Acres,US President,NA,DEM,Kamala D. Harris,total,483
Allegheny,Bell Acres,US President,NA,REP,Donald J. Trump,total,489
Allegheny,Bell Acres,US President,NA,GRN,Jill Stein,total,5
Allegheny,Bell Acres,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bell Acres,US President,NA,WRI,Write-in,total,7
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,DEM,Kamala D. Harris,total,482
Allegheny,Bellevue Ward 1 Dist 1,US President,NA,REP,Donald J. Trump,total,222
